,
的                   ,of                   
我          ,I          
你                            ,you                            
了                        ,The
是        ,Yes        
在                          ,In
他                 ,He
我们          ,Us
不                 ,Do not                 
吗          ,          
好        ,it is good        
什么 ,what 
有               ,Have               
就          ,On
吧          ,It
她          ,she was          
这                 ,This                 
知道        ,Know
说                 ,Say                 
都        ,All        
去          ,go with          
很 ,Very
啊              ,what              
要          ,To
也 ,and also 
他们          ,They
和          ,with          
那          ,That
想                        ,miss you                        
人        ,People
会                 ,meeting                 
一个                            ,One                            
来          ,Come          
把          ,The
对              ,Correct              
没有                                ,No                                
做                   ,Do
不是                          ,No
让                 ,yield                 
给                   ,give                   
you                            ,you
可以                 ,Can
i                   ,i
你们          ,you guys          
呢                 ,It
但                   ,but                   
l        ,l
到            ,To
还                        ,Also
现在                        ,right now                        
the               ,the
这个        ,This one        
能               ,can               
怎么        ,How
就是               ,It is
跟                 ,With
如果               ,in case               
没                        ,No                        
它               ,It
走                      ,go                      
上        ,On
得            ,Get
被                        ,Is
这里        ,Here        
这样                 ,This
个                             ,More
看                 ,Look                 
事        ,Thing
to        ,to
自己                        ,Own
着        ,The
谁                        ,Who                        
过                 ,Live
不会                        ,Will not
a                               ,a
告诉                        ,Tell
s                                   ,s
为什么                      ,Why
不能                   ,Can not
真的                      ,Really
m               ,m
先生               ,Mr               
只是                        ,Just
不要                        ,Do not
这是                        ,this is                        
已经                               ,Already
再        ,Again
哦        ,Oh        
需要        ,Need
it        ,it
因为        ,Because
谢谢        ,Thank you
像                                   ,Like
这么                 ,So
可能 ,Possible
但是 ,But
那个                 ,That one                 
所以 ,and so 
喜欢          ,Like
又          ,And
叫                   ,Call
快          ,Fast
我要               ,I need to               
觉得          ,I think
别 ,do not 
听 ,Listen to
找          ,Find          
里        ,In
还有        ,and also        
时候 ,Time
东西 ,Thing
等 ,Wait 
死 ,Dead
多          ,many          
从          ,From          
我会                          ,I will                          
一起              ,Together
and        ,and
应该        ,Should
我們          ,Us
这些        ,These ones        
that        ,that
t                 ,t
请 ,please 
孩子 ,Children
看到 ,See
一下          ,a bit          
那么 ,Then
为 ,Is
嗎        ,        
而 ,And
of        ,of
您                        ,you                        
才        ,Only
用                 ,use                 
还是     ,still is     
嗯          ,Ok          
问题 ,Problem
工作        ,jobs        
一样 ,Like
呀          ,Yeah
开始            ,begin            
吃          ,Eat
嘿 ,Hey 
当                 ,when                 
真          ,Really
中          ,In
然后                 ,Then
看看                 ,Look
說          ,Say          
地方               ,Place
一定        ,for sure        
将               ,Will
希望                                 ,hope                                 
朋友                        ,Friend
今天        ,Nowadays        
拿        ,Take
一        ,One        
啦 ,La 
in ,in
事情 ,Thing
一直 ,Up
所有 ,All
we ,we
找到     ,turn up     
什麼     ,what     
哪                       ,where                       
当然              ,of course              
们     ,They
回来            ,come back            
不想            ,Do not want
